PLAYER;GP;MIN;PTS;FG%;3PM;3P%;FT%;REB;AST;TOV;STL;BLK;DD2;TD3;POSITION
James Harden;72;35.4;30.4;44.9;3.7;36.7;85.8;5.4;8.8;4.4;1.8;0.7;31;4;G
LeBron James;82;36.9;27.5;54.2;1.8;36.7;73.1;8.6;9.1;4.2;1.4;0.9;52;18;G
Damian Lillard;73;36.6;26.9;43.9;3.1;36.1;91.6;4.5;6.6;2.8;1.1;0.4;11;0;G
Stephen Curry;51;32.0;26.4;49.5;4.2;42.3;92.1;5.1;6.1;3.0;1.6;0.2;5;0;G
Russell Westbrook;80;36.4;25.4;44.9;1.2;29.8;73.7;10.1;10.3;4.8;1.8;0.3;59;25;G
Devin Booker;54;34.5;24.9;43.2;2.7;38.3;87.8;4.5;4.7;3.6;0.9;0.3;4;0;G
Kyrie Irving;60;32.2;24.4;49.1;2.8;40.8;88.9;3.8;5.1;2.3;1.1;0.3;1;0;G
Victor Oladipo;75;34.0;23.1;47.7;2.1;37.1;79.9;5.2;4.3;2.9;2.4;0.8;3;0;G
DeMar DeRozan;80;33.9;23.0;45.6;1.1;31.0;82.5;3.9;5.2;2.2;1.1;0.3;0;0;G
Bradley Beal;82;36.3;22.6;46.0;2.4;37.5;79.1;4.4;4.5;2.6;1.2;0.4;4;0;G
Lou Williams;79;32.8;22.6;43.5;2.4;35.9;88.0;2.5;5.3;3.0;1.1;0.2;7;0;G
Jimmy Butler;59;36.7;22.2;47.4;1.2;35.0;85.4;5.3;4.9;1.8;2.0;0.4;3;0;G
Kemba Walker;80;34.2;22.1;43.1;2.9;38.4;86.4;3.1;5.6;2.2;1.1;0.3;3;0;G
CJ McCollum;81;36.1;21.4;44.3;2.3;39.7;83.6;4.0;3.4;1.9;1.0;0.4;1;0;G
Donovan Mitchell;79;33.4;20.5;43.7;2.4;34.0;80.5;3.7;3.7;2.7;1.5;0.3;0;0;G
MarShon Brooks;7;27.5;20.1;50.0;2.7;59.4;87.0;3.0;3.6;2.3;1.6;0.4;0;0;G
